SWEREFID	Stationskoordinat N/X	Stationskoordinat E/Y	Provdatum	Yr	Mo	Day	pH	Alk/Acid (mekv/l)	Cl (mekv/l)	TOC (mg/l)	Abs._F (420nm/5cm)	NO2+NO3-N (?g/l)	Tot-P (?g/l)	SO4* mekv/l	BC* mekv/l	ANC mekv/l
6788266-611834	6788266	611834	2652307200	1988	1	18	6.5	0.166	0.031	7.3	0.131	105	12	0.054807	0.307559	0.2455
6788266-611834	6788266	611834	2654726400	1988	2	15	6.56	0.191	0.029	5.8	0.105	160	13	0.057013	0.321781	0.253571429
6788266-611834	6788266	611834	2657232000	1988	3	15	6.62	0.189	0.028	6.1	0.093	140	14	0.055116	0.337892	0.273
6788266-611834	6788266	611834	2660169600	1988	4	18	6.75	0.22	0.033	5.5	0.088	155	10	0.056601	0.345337	0.277928571
6788266-611834	6788266	611834	2662588800	1988	5	16	6.6	0.175	0.038	7.2	0.15	200	16	0.061086	0.329782	0.254714286
6788266-611834	6788266	611834	2665612800	1988	6	20	6.56	0.117	0.024	7.7	0.112	53	9	0.050528	0.236336	0.182214286
6788266-611834	6788266	611834	2668118400	1988	7	19	6.63	0.145	0.023	7.2	0.101	14	23	0.055631	0.264447	0.208
6788266-611834	6788266	611834	2670451200	1988	8	15	6.8	0.151	0.025	6.7	0.087	23	13	0.053425	0.269225	0.214357143
6788266-611834	6788266	611834	2673129600	1988	9	15	6.7	0.157	0.025	5.6	0.076	32	12	0.049425	0.268225	0.216714286
6788266-611834	6788266	611834	2676067200	1988	10	19	6.92	0.173	0.024	7.6	0.084	50	9	0.046528	0.295336	0.245428571
6788266-611834	6788266	611834	2678486400	1988	11	16	6.91	0.179	0.027	6.9	0.097	44	10	0.048219	0.292003	0.240857143
6788266-611834	6788266	611834	2680992000	1988	12	15	6.8	0.186	0.026	7.4	0.106	70	12	0.051322	0.309114	0.253
6788266-611834	6788266	611834	2683756800	1989	1	16	6.6	0.216	0.03	7.1	0.096	85	11	0.05991	0.36767	0.301928571
6788266-611834	6788266	611834	2686348800	1989	2	15	6.79	0.226	0.035	5.9	0.088	92	7	0.053395	0.343115	0.283428571
6788266-611834	6788266	611834	2692224000	1989	4	24	6.92	0.225	0.04	6	0.079	115	28	0.05788	0.34956	0.283785714
6788266-611834	6788266	611834	2694729600	1989	5	23	6.73	0.143	0.056	9	0.12	85	15	0.057232	0.277784	0.214928571
6788266-611834	6788266	611834	2696716800	1989	6	15	6.78	0.121	0.028	8.4	0.113	60	11	0.053116	0.257892	0.200714286
6788266-611834	6788266	611834	2699654400	1989	7	19	6.92	0.136	0.029	7	0.095	13	16	0.052013	0.250781	0.198071429
6788266-611834	6788266	611834	2704665600	1989	9	15	6.81	0.192	0.041	6.5	0.069	38	12	0.055777	0.285449	0.227285714
6788266-611834	6788266	611834	2707344000	1989	10	16	6.67	0.193	0.029	6.4	0.084	40	40	0.053013	0.306781	0.251142857
6788266-611834	6788266	611834	2709936000	1989	11	15	7.02	0.194	0.027	5.3	0.068	57	11	0.051219	0.308003	0.252928571
6788266-611834	6788266	611834	2712873600	1989	12	19	7	0.198	0.027	5.3	0.069	80	8	0.052219	0.304003	0.246285714
6788266-611834	6788266	611834	2715292800	1990	1	16	6.85	0.228	0.029	4.8	0.075	85	15	0.058013	0.315781	0.251928571
6788266-611834	6788266	611834	2717884800	1990	2	15	6.87	0.245	0.033	7.3	0.07	109	19	0.057601	0.353337	0.288214286
6788266-611834	6788266	611834	2720304000	1990	3	15	6.64	0.237	0.034	4.9	0.068	134	12	0.092498	0.356226	0.254428571
6788266-611834	6788266	611834	2723155200	1990	4	17	6.86	0.22	0.038	4.2	0.072	123	16	0.068086	0.343782	0.267214286
6788266-611834	6788266	611834	2725574400	1990	5	15	6.98	0.194	0.04	5.3	0.081	65	13	0.07488	0.30656	0.227357143
6788266-611834	6788266	611834	2728684800	1990	6	20	6.82	0.176	0.037	5.6	0.084	37	10	0.056189	0.279893	0.221357143
6788266-611834	6788266	611834	2730931200	1990	7	16	6.67	0.184	0.051	5.8	0.07	14	16	0.096747	0.296339	0.199
6788266-611834	6788266	611834	2733955200	1990	8	20	6.65	0.196	0.032	5	0.07	14	9	0.065704	0.278448	0.212
6788266-611834	6788266	611834	2736374400	1990	9	17	6.95	0.191	0.037	5	0.067	45	20	0.059189	0.291893	0.229785714
6788266-611834	6788266	611834	2738793600	1990	10	15	6.81	0.182	0.033	7.3	0.12	81	35	0.058601	0.295337	0.231214286
6788266-611834	6788266	611834	2741472000	1990	11	15	6.85	0.169	0.044	7.8	0.132	92	16	0.058468	0.293116	0.228428571
6788266-611834	6788266	611834	2744236800	1990	12	17	6.69	0.179	0.039	7.8	0.138	98	14	0.060983	0.310671	0.243
6788266-611834	6788266	611834	2746828800	1991	1	16	6.7	0.202	0.045	7.9	0.114	90	11	0.063365	0.331005	0.261571429
6788266-611834	6788266	611834	2749680000	1991	2	18	6.71	0.224	0.037	6.2	0.099	136	9	0.060189	0.334893	0.265285714
6788266-611834	6788266	611834	2752099200	1991	3	18	6.73	0.25	0.043	5.8	0.087	134	14	0.058571	0.357227	0.289428571
6788266-611834	6788266	611834	2754604800	1991	4	16	6.92	0.257	0.047	6.1	0.092	148	26	0.060159	0.357783	0.287428571
